subject,snippet,label
Reunión de equipo - Lunes 9am,Hola a todos les recuerdo que mañana lunes tenemos reunión de equipo a las 9am en la sala de conferencias. Por favor confirmen asistencia.,laboral
Actualización del proyecto Alpha,El cliente solicitó modificaciones en el módulo de pagos. Necesitamos revisar el alcance antes del viernes.,laboral
Solicitud de vacaciones aprobada,Tu solicitud de vacaciones del 15 al 22 de julio fue aprobada por tu responsable. Recordá coordinar la cobertura con tu equipo.,laboral
Informe trimestral Q2 - Revisión pendiente,Adjunto encontrarás el informe del segundo trimestre. Se requiere tu revisión y firma antes del miércoles.,laboral
Nueva política de trabajo remoto,A partir del 1° de agosto se implementa la nueva política de home office. Quedá disponible 3 días en oficina y 2 remoto.,laboral
Entrevista confirmada - Desarrollador Senior,Te confirmamos tu entrevista para el puesto de Desarrollador Senior el jueves 20 a las 15hs. El encuentro será por videollamada.,laboral
Cambios en el contrato - Cliente XYZ,El área legal revisó el contrato y sugiere modificaciones en las cláusulas 4 y 7. Necesitamos tu aprobación para proceder.,laboral
Capacitación obligatoria: Seguridad informática,Recordatorio: el próximo martes a las 10am se realizará la capacitación obligatoria de seguridad informática para todo el personal.,laboral
Tu licencia por enfermedad fue registrada,Quedó registrada tu licencia médica del día de hoy. Recordá enviar el certificado médico dentro de las 48 horas.,laboral
Presupuesto 2025 - Aprobación requerida,Se adjunta el presupuesto preliminar del área para el ejercicio 2025. Se requiere aprobación antes del cierre del mes.,laboral
Nómina de marzo disponible,El recibo de sueldo correspondiente al mes de marzo ya está disponible en el portal de RR.HH. para su descarga.,laboral
Alerta: vence entrega del módulo de reportes,Recordatorio automático: el plazo de entrega del módulo de reportes vence hoy a las 18hs. Por favor actualizá el estado en Jira.,laboral
Propuesta comercial para Grupo Médico Sur,Adjunto la propuesta comercial actualizada para Grupo Médico Sur. Aguardo tus comentarios antes de enviarla al cliente.,laboral
Bienvenida a Valentina Torres - Equipo de Producto,Es un placer presentar a Valentina Torres quien se suma hoy al equipo de Producto como UX Designer. ¡Bienvenida Valentina!,laboral
Factura 4521 pendiente de pago,La factura número 4521 por $320.000 se encuentra vencida desde el 10 de junio. Por favor gestionar el pago a la brevedad.,laboral
Ticket #8821 asignado a tu equipo,Se asignó a tu equipo el ticket #8821 reportado por el cliente. El issue está clasificado como crítico y requiere atención inmediata.,laboral
Resumen ejecutivo - Reunión de directorio,Adjunto el resumen ejecutivo de la reunión de directorio del 5 de julio para tu conocimiento y archivo.,laboral
Solicitud de reembolso de viáticos,Se adjunta la solicitud de reembolso por los gastos del viaje a Córdoba. Total: $45.200. Pendiente de aprobación por parte de Finanzas.,laboral
Renovación de contrato con proveedor IT,El contrato con el proveedor de servicios IT vence el 31 de agosto. Se requiere decisión sobre renovación con 30 días de anticipación.,laboral
Aviso: corte de acceso al sistema ERP,El próximo sábado de 22hs a 6hs se realizará mantenimiento del ERP. El sistema no estará disponible durante ese período.,laboral
Plan de trabajo Q3 - Área de Desarrollo,Se comparte el plan de trabajo del equipo de Desarrollo para el tercer trimestre. Por favor revisá los hitos asignados a tu área.,laboral
Comunicado: Cambios en la estructura organizacional,La dirección informa que a partir del 1° de agosto el área de Operaciones reportará directamente a la Gerencia General.,laboral
Convocatoria: Comité de Innovación 2025,Te invitamos a participar del Comité de Innovación 2025. El comité se reunirá mensualmente para evaluar propuestas de mejora.,laboral
Auditoría interna - Documentación requerida,El equipo de auditoría interna solicita los registros de transacciones del último semestre. Plazo de entrega: 48 horas.,laboral
Certificado laboral listo para retirar,Tu certificado de trabajo solicitado el 3 de julio ya se encuentra disponible para retirar en Recursos Humanos.,laboral
Nuevo proceso de onboarding - Guía adjunta,Se adjunta la guía del nuevo proceso de onboarding para que puedas acompañar el ingreso de los nuevos colaboradores.,laboral
Resultado encuesta de clima organizacional,Compartimos los resultados de la encuesta de clima organizacional 2024. El informe detallado está disponible en la intranet.,laboral
Oferta laboral: Analista de Datos - Banco Nación,Vimos tu perfil en LinkedIn y queremos invitarte a postularte para el puesto de Analista de Datos en nuestra organización.,laboral
Actualización de credenciales del sistema,Por razones de seguridad debés actualizar tu contraseña del sistema antes del viernes. Seguí el link para hacerlo.,laboral
Planilla de horas extras - Semana del 8/7,Adjunto la planilla de horas extras de la semana. Por favor revisá y firmá antes del lunes para procesar el pago correspondiente.,laboral
Nuevo requerimiento del área de Compliance,El área de Compliance solicita la documentación de los procesos actualizados antes del cierre del trimestre.,laboral
Resultado de evaluación de desempeño,Tu evaluación de desempeño del semestre fue procesada. Podés ver el detalle en el portal de RR.HH. con tu usuario.,laboral
Recordatorio: firma del acuerdo de confidencialidad,Todavía tenés pendiente la firma del acuerdo de confidencialidad actualizado. Debés firmarlo antes del viernes próximo.,laboral
Alta de nuevo proveedor aprobada,El alta del proveedor Soluciones Digitales SRL fue aprobada por el área de Compras. Ya podés emitir órdenes de compra.,laboral
Reunión de retrospectiva - Sprint 14,La retro del Sprint 14 es el viernes a las 17hs por Meet. Por favor completá el board de Miro antes de la reunión.,laboral
¡Feliz cumpleaños! 🎂,Hola! Solo quería desearte un muy feliz cumpleaños. Espero que lo estés pasando genial con tu familia y amigos.,no laboral
